CRIMETYPE,DATETIME,CASENUMBER,DESCRIPTION,POLICEBEAT,ADDRESS,CITY,STATE,Location
,09/18/2020 10:53:00 PM,20-046462,MURDER,08X,3400 TELEGRAPH AV,Oakland,CA,
PETTY THEFT,10/20/2020 10:00:00 AM,20-052854,THEFT,26Y,1300 61ST AV,Oakland,CA,
HOMICIDE,10/29/2020 11:49:00 PM,20-053480,MURDER,26Y,1100 62ND AV,Oakland,CA,
PETTY THEFT,01/01/2021 12:30:00 AM,20-000065,THEFT,30X,9600 D ST,Oakland,CA,
PETTY THEFT,12/01/2020 06:45:00 AM,20-058843,THEFT,09X,4500 GILBERT ST,Oakland,CA,
FORCIBLE RAPE,10/01/2020 12:00:00 AM,20-057065,ATTEMPTED RAPE,02Y,1600 11TH ST,Oakland,CA,
ROBBERY,11/29/2020 10:50:00 AM,20-058531,ROBBERY-FIREARM,24Y,2900 HIGH ST,Oakland,CA,
THREATS,12/01/2020 03:00:00 PM,20-058965,BATTERY,27Y,2500 61ST AV,Oakland,CA,
THREATS,12/09/2020 11:55:00 AM,20-060338,THREAT CRIME:INT:TERRORIZE,30Y,8000 MACARTHUR BLVD,Oakland,CA,
PETTY THEFT,12/06/2020 08:31:00 PM,20-059866,THEFT,01X,200 2ND ST,Oakland,CA,
STOLEN VEHICLE,12/04/2020 09:30:00 AM,20-060090,VEHICLE THEFT - AUTO,22Y,3800 MIDVALE AV,Oakland,CA,
PETTY THEFT,12/07/2020 09:00:00 PM,20-060124,THEFT,33X,1300 82ND AV,Oakland,CA,
PETTY THEFT,12/12/2020 01:30:00 PM,20-061047,THEFT,08X,00 GARLAND AV,Oakland,CA,
RECOVERED O/S STOLEN,12/28/2020 06:08:00 PM,20-063414,VEHICLE THEFT - AUTO,03Y,1300 JEFFERSON ST,Oakland,CA,
OTHER,12/22/2020 12:00:00 PM,20-063589,EXHIBIT FIREARM,08X,00 FAIRMOUNT AV,Oakland,CA,
STOLEN VEHICLE,12/25/2020 09:15:00 PM,20-063127,VEHICLE THEFT - AUTO,11X,6400 TELEGRAPH AV,Oakland,CA,
BURG - AUTO,11/16/2020 05:45:00 PM,20-919785,BURGLARY-AUTO,77X,23RD/ VALLEY,Oakland,CA,
ROBBERY,12/29/2020 08:59:00 PM,20-063609,ROBBERY-FIREARM,22Y,3500 35TH AV,Oakland,CA,
BURG - AUTO,12/20/2020 08:05:00 PM,20-921331,BURGLARY-AUTO,02Y,13TH ST & WOOD ST,Oakland,CA,
