"VANDALISM","2019-04-19 18:14:00","19-019551","VANDALISM:DAMAGE PROPERTY","01X","400 2ND ST","Oakland","CA"
"DOMESTIC VIOLENCE","2019-05-02 22:00:00","19-021987","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","15X","700 MACARTHUR BLVD","Oakland","CA"
"DOMESTIC VIOLENCE","2019-05-02 22:00:00","19-021987","EXHIBIT FIREARM","15X","700 MACARTHUR BLVD","Oakland","CA"
"DOMESTIC VIOLENCE","2019-05-02 22:00:00","19-021987","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","15X","700 MACARTHUR BLVD","Oakland","CA"
"DOMESTIC VIOLENCE","2019-05-02 22:00:00","19-021987","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","15X","700 MACARTHUR BLVD","Oakland","CA"
"OTHER","2019-05-18 22:03:00","19-024796","BATTERY","33X","1300 91ST AV","Oakland","CA"
"OTHER","2019-05-18 22:03:00","19-024796","EXHIBIT FIREARM","33X","1300 91ST AV","Oakland","CA"
"BURG - AUTO","2019-05-20 19:30:00","19-025238","BURGLARY-AUTO","31X","400 HEGENBERGER RD","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-05-25 22:16:00","19-026242","CARRY LOADED FIREARM ON/IN PERSON/VEH: PUBLIC PLACE","34X","1400 85TH AV","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-05-25 22:16:00","19-026242","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","34X","1400 85TH AV","Oakland","CA"
"BURG - AUTO","2019-06-27 00:00:00","19-032550","BURGLARY-AUTO","25X","4100 MACARTHUR BLVD","Oakland","CA"
"DOMESTIC VIOLENCE","2019-07-03 00:20:00","19-033520","BATTERY","27X","5400 TRASK ST","Oakland","CA"
"DOMESTIC VIOLENCE","2019-07-03 00:20:00","19-033520","INFLICT CORPORAL INJURY ON SPOUSE/COHABITANT","27X","5400 TRASK ST","Oakland","CA"
"BURG - RESIDENTIAL","2019-07-20 01:43:00","19-036862","BURGLARY-NO FORCE","10X","5500 MARSHALL ST","Oakland","CA"
"","2019-07-26 16:30:00","19-038317","EXHIBIT FIREARM","35X","9500 LAWLOR ST","Oakland","CA"
"BURG - AUTO","2019-07-24 03:30:00","19-038774","BURGLARY-AUTO","31X","7800 CAPWELL DR","Oakland","CA"
"ROBBERY","2019-07-30 00:50:00","19-039050","CARJACKING - STRONGARM","27Y","6100 HOLWAY ST","Oakland","CA"
"ROBBERY","2019-08-01 21:52:00","19-039339","ASSAULT WITH FIREARM ON PERSON","10Y","800 43RD ST","Oakland","CA"
"ROBBERY","2019-08-01 21:52:00","19-039339","ROBBERY-FIREARM","10Y","800 43RD ST","Oakland","CA"
"GRAND THEFT","2019-08-02 18:27:00","19-039473","GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400","30X","7600 INTERNATIONAL BLVD","Oakland","CA"
"BURG - AUTO","2019-08-09 23:00:00","19-040836","BURGLARY-AUTO","12X","4200 TELEGRAPH AV","Oakland","CA"
"FELONY ASSAULT","2020-06-30 14:00:00","19-041708","ASSAULT WITH FIREARM ON PERSON","11X","5700 MACCALL ST","Oakland","CA"
"FELONY ASSAULT","2020-06-30 14:00:00","19-041708","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","11X","5700 MACCALL ST","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-08-14 23:55:00","19-041824","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","19X","1700 INTERNATIONAL BLVD","Oakland","CA"
"","2019-08-16 01:00:00","19-042075","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","22X","3400 FRUITVALE AV","Oakland","CA"
"ROBBERY","2019-08-18 23:45:00","19-042659","ROBBERY-FIREARM","15X","1000 MCKINLEY AV","Oakland","CA"
"BURG - AUTO","2019-08-19 12:40:00","19-042781","BURGLARY-AUTO","06X","3400 SAN PABLO AV","Oakland","CA"
"BURG - AUTO","2019-08-20 04:50:00","19-042905","BURGLARY-AUTO","23X","4000 ALAMEDA AV","Oakland","CA"
"BURG - AUTO","2019-08-21 13:59:00","19-043195","BURGLARY-AUTO","19X","2200 EMBARCADERO","Oakland","CA"
"DOMESTIC VIOLENCE","2019-07-01 08:00:00","19-043451","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","29X","7000 LACEY AV","Oakland","CA"
"FELONY ASSAULT","2019-08-24 11:00:00","19-043773","BATTERY W/SERIOUS BODILY INJURY","18Y","2200 E 25TH ST","Oakland","CA"
"RECOVERED O/S STOLEN","2019-08-25 08:39:00","19-043931","VEHICLE THEFT - AUTO","27Y","1400 47TH AV","Oakland","CA"
"CURFEW & LOITERING","2019-08-25 21:55:00","19-044033","TRESPASS:OCCUPY PROPERTY W/O CONSENT","32X","9800 B ST","Oakland","CA"
"BURG - AUTO","2019-08-23 18:00:00","19-044126","BURGLARY-AUTO","04X","1400 WEBSTER ST","Oakland","CA"
"GRAND THEFT","2019-08-29 17:07:00","19-044858","GRAND THEFT FROM PERSON","26Y","69TH AV & SNELL ST","Oakland","CA"
"BURG - COMMERCIAL","2019-09-02 03:34:00","19-045441","BURGLARY-FORCIBLE ENTRY","21Y","3000 SCHOOL ST","Oakland","CA"
"BURG - COMMERCIAL","2019-09-02 03:34:00","19-045441","WILLFUL DISCHARGE FIREARM IN NEGLIGENT MANNER","21Y","3000 SCHOOL ST","Oakland","CA"
"TOWED VEHICLE","2019-09-02 22:45:00","19-045587","ROBBERY-FIREARM","02Y","1100 CHESTER ST","Oakland","CA"
"THREATS","2019-09-04 09:00:00","19-045958","CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE","08X","600 23RD ST","Oakland","CA"
"ROBBERY","2019-09-04 21:40:00","19-046000","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","23X","3400 E 12TH ST","Oakland","CA"
"ROBBERY","2019-09-07 08:35:00","19-046635","ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","17Y","2500 10TH AV","Oakland","CA"
"DISORDERLY CONDUCT","2019-09-12 01:00:00","19-047553","ANNOYING TELEPHONE CALL:OBSCENE/THREATENING","18X","1700 19TH AV","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-14 17:45:00","19-047889","BATTERY","26Y","65TH AV & INTERNATIONAL BLVD","Oakland","CA"
"BURG - COMMERCIAL","2019-09-16 03:00:00","19-048191","BURGLARY-FORCIBLE ENTRY","26X","4600 E 12TH ST","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-16 15:17:00","19-048210","BATTERY","04X","600 W GRAND AV","Oakland","CA"
"PETTY THEFT","2019-09-18 12:22:00","19-048682","THEFT","09X","3600 BROADWAY","Oakland","CA"
"DOMESTIC VIOLENCE","2020-01-23 06:00:00","19-048981","BATTERY:SPOUSE/EX SPOUSE/DATE/ETC","30X","7300 WELD ST.","Oakland","CA"
"DOMESTIC VIOLENCE","2020-01-23 06:00:00","19-048981","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","30X","7300 WELD ST.","Oakland","CA"
"BURG - AUTO","2019-09-21 23:36:00","19-049114","BURGLARY-AUTO","08X","2300 WEBSTER ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 00:00:00","19-049124","FORCE/ADW-OTHER DANGEROUS WEAPON:GBI","08X","500 34TH ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 00:00:00","19-049124","VANDALISM:DAMAGE PROPERTY","08X","500 34TH ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 05:28:00","19-049148","EXHIBIT DEADLY WEAPON:SERIOUS BODILY INJURY INTENT","08X","26TH ST & VALDEZ ST","Oakland","CA"
"FELONY ASSAULT","2019-09-21 07:42:00","19-049156","ASSAULT WITH FIREARM ON PERSON","34X","1600 90TH AV","Oakland","CA"
"PETTY THEFT","2019-09-22 08:58:00","19-049342","THEFT","23X","4000 ALAMEDA AV","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-23 16:22:00","19-049592","BATTERY","28X","3100 HIGH ST","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-09-27 16:48:00","19-050468","BATTERY","14X","300 MACARTHUR BLVD","Oakland","CA"
"MISDEMEANOR ASSAULT","2019-10-01 14:15:00","19-051138","BATTERY","03Y","1200 CLAY ST","Oakland","CA"
"CURFEW & LOITERING","2019-10-01 17:40:00","19-051167","TRESPASS:OCCUPY PROPERTY W/O CONSENT","02X","700 2ND ST","Oakland","CA"
"GRAND THEFT","2019-10-01 17:39:00","19-051170","SC GRAND THEFT","05X","1100 14TH ST","Oakland","CA"
"BURG - AUTO","2019-10-01 21:12:00","19-051191","BURGLARY-AUTO","03Y","500 9TH ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","CARRY LOAD F/ARM:PR FEL","24X","3700 NEVIL ST","Oakland","CA"
"NARCOTICS","2019-10-04 07:02:00","19-052096","FELON PURCHASE/ETC FIREARM:RESTRAINING ORDER","24X","3700 NEVIL ST","Oakland","CA"
